Date,Power_kW
2019-01-02 01:00:00,105.474
2019-01-02 02:00:00,107.18
2019-01-02 03:00:00,107.636
2019-01-02 04:00:00,105.547
2019-01-02 05:00:00,104.585
2019-01-02 06:00:00,108.683
2019-01-02 07:00:00,146.916
2019-01-02 08:00:00,191.87
2019-01-02 09:00:00,215.088
2019-01-02 10:00:00,243.252
2019-01-02 11:00:00,324.193
2019-01-02 12:00:00,267.701
2019-01-02 13:00:00,280.792
2019-01-02 14:00:00,294.921
2019-01-02 15:00:00,282.85
2019-01-02 16:00:00,263.802
2019-01-02 17:00:00,251.11
2019-01-02 18:00:00,206.061
2019-01-02 19:00:00,168.257
2019-01-02 20:00:00,144.747
2019-01-02 21:00:00,121.291
2019-01-02 22:00:00,108.311
2019-01-02 23:00:00,107.698
2019-01-03 00:00:00,120.159
2019-01-03 01:00:00,113.308
2019-01-03 02:00:00,108.948
2019-01-03 03:00:00,109.082
2019-01-03 04:00:00,107.953
2019-01-03 05:00:00,107.183
2019-01-03 06:00:00,112.666
2019-01-03 07:00:00,166.608
2019-01-03 08:00:00,219.917
2019-01-03 09:00:00,253.489
2019-01-03 10:00:00,268.065
2019-01-03 11:00:00,398.686
2019-01-03 12:00:00,312.761
2019-01-03 13:00:00,306.111
2019-01-03 14:00:00,303.649
2019-01-03 15:00:00,289.562
2019-01-03 16:00:00,268.975
2019-01-03 17:00:00,248.879
2019-01-03 18:00:00,222.761
2019-01-03 19:00:00,176.514
2019-01-03 20:00:00,154.605
2019-01-03 21:00:00,122.502
2019-01-03 22:00:00,122.041
2019-01-03 23:00:00,112.824
2019-01-04 00:00:00,108.068
2019-01-04 01:00:00,104.213
2019-01-04 02:00:00,103.711
2019-01-04 03:00:00,104.144
2019-01-04 04:00:00,100.875
2019-01-04 05:00:00,101.308
2019-01-04 06:00:00,111.662
2019-01-04 07:00:00,142.521
2019-01-04 08:00:00,168.659
2019-01-04 09:00:00,216.295
2019-01-04 10:00:00,369.181
2019-01-04 11:00:00,324.437
2019-01-04 12:00:00,340.321
2019-01-04 13:00:00,325.577
2019-01-04 14:00:00,326.669
2019-01-04 15:00:00,335.033
2019-01-04 16:00:00,354.929
2019-01-04 17:00:00,341.378
2019-01-04 18:00:00,297.748
2019-01-04 19:00:00,229.831
2019-01-04 20:00:00,171.325
2019-01-04 21:00:00,141.75
2019-01-04 22:00:00,123.654
2019-01-04 23:00:00,113.21
2019-01-05 00:00:00,107.28
2019-01-05 01:00:00,109.051
2019-01-05 02:00:00,105.39
2019-01-05 03:00:00,106.187
2019-01-05 04:00:00,104.936
2019-01-05 05:00:00,101.995
2019-01-05 06:00:00,105.06
2019-01-05 07:00:00,103.624
2019-01-05 08:00:00,116.373
2019-01-05 09:00:00,138.51
2019-01-05 10:00:00,249.364
2019-01-05 11:00:00,173.418
2019-01-05 12:00:00,196.38
2019-01-05 13:00:00,191.382
2019-01-05 14:00:00,180.109
2019-01-05 15:00:00,185.278
2019-01-05 16:00:00,184.627
2019-01-05 17:00:00,190.753
2019-01-05 18:00:00,195.251
2019-01-05 19:00:00,146.042
2019-01-05 20:00:00,129.314
2019-01-05 21:00:00,124.963
2019-01-05 22:00:00,104.955
2019-01-05 23:00:00,105.516
2019-01-06 00:00:00,0.0
2019-01-06 01:00:00,0.0
2019-01-06 02:00:00,0.0
2019-01-06 03:00:00,0.0
2019-01-06 04:00:00,0.0
2019-01-06 05:00:00,0.0
2019-01-06 06:00:00,0.0
2019-01-06 07:00:00,0.0
2019-01-06 08:00:00,0.0
2019-01-06 09:00:00,0.0
2019-01-06 10:00:00,0.0
2019-01-06 11:00:00,0.0
2019-01-06 12:00:00,0.0
2019-01-06 13:00:00,0.0
2019-01-06 14:00:00,0.0
2019-01-06 15:00:00,0.0
2019-01-06 16:00:00,0.0
2019-01-06 17:00:00,0.0
2019-01-06 18:00:00,0.0
2019-01-06 19:00:00,0.0
2019-01-06 20:00:00,0.0
2019-01-06 21:00:00,0.0
2019-01-06 22:00:00,0.0
2019-01-06 23:00:00,0.0
2019-01-07 00:00:00,101.235
2019-01-07 01:00:00,95.956
2019-01-07 02:00:00,98.336
2019-01-07 03:00:00,102.791
2019-01-07 04:00:00,98.346
2019-01-07 05:00:00,98.923
2019-01-07 06:00:00,110.653
2019-01-07 07:00:00,368.139
2019-01-07 08:00:00,263.814
2019-01-07 09:00:00,322.372
2019-01-07 10:00:00,344.52
2019-01-07 11:00:00,389.494
2019-01-07 12:00:00,380.159
2019-01-07 13:00:00,366.705
2019-01-07 14:00:00,378.787
2019-01-07 15:00:00,429.535
2019-01-07 16:00:00,399.23
2019-01-07 17:00:00,378.622
2019-01-07 18:00:00,356.039
2019-01-07 19:00:00,195.121
2019-01-07 20:00:00,143.578
2019-01-07 21:00:00,114.923
2019-01-07 22:00:00,116.434
2019-01-07 23:00:00,110.868
2019-01-08 00:00:00,116.142
2019-01-08 01:00:00,108.409
2019-01-08 02:00:00,0.0
2019-01-08 03:00:00,0.0
2019-01-08 04:00:00,0.0
2019-01-08 05:00:00,0.0
2019-01-08 06:00:00,0.0
2019-01-08 07:00:00,0.0
2019-01-08 08:00:00,0.0
2019-01-08 09:00:00,0.0
2019-01-08 10:00:00,0.0
2019-01-08 11:00:00,356.883
2019-01-08 12:00:00,385.351
